return_1,return_5,log_return_1,sma_ratio_20,sma_ratio_50,ema_ratio_20,rsi_14,macd,macd_signal,roc_5,roc_10,bb_width,bb_pct_b,atr_ratio,stoch_k,stoch_d,obv_change,vwap_ratio,target_direction
0.013360540132809184,0.0010558707048313742,0.01327207520486987,-0.0041061871682581685,0.012523295240968846,0.002539468349743279,0.4857944068717865,-0.05126447661632483,0.523680668500143,0.0010558707048313742,-0.016085681276230557,0.04458929633798741,0.4075312283689454,0.01025519549817768,0.5331634887301128,0.35331699763008556,-0.1635788228000652,-0.001749157234917642,0.0
-0.002972457147112695,0.014538057607773602,-0.0029768836718046376,-0.006556532104520674,0.009265704988179468,-0.0003983418797847138,0.47039867816199527,-0.04094492389236848,0.41075555002164077,0.014538057607773602,-0.014967736246707886,0.045049833457181165,0.3534999260951775,0.010100629997305812,0.46475340932180065,0.39343853316658034,0.13580822941794102,-0.004317752148983889,1.0
0.012021542216238412,0.029144287109375,0.011949857413652766,0.005306949771238134,0.020532881487345778,0.010494108934405944,0.5344658699787029,0.16365288561456737,0.36133501714022614,0.029144287109375,0.0010940921419522187,0.04464898991338687,0.6182318959515536,0.01084592260576231,0.7911240104699966,0.5963469695073034,-0.28947671057870294,0.007543887026360663,0.0
-0.004561468608011432,0.01158857472599406,-0.004571903851391089,0.0008360095987969274,0.014924964558808096,0.005318522521699176,0.5090019634904148,0.24666235618397536,0.338400484948976,0.01158857472599406,-0.004561468608011432,0.04477076722929239,0.5186575152102879,0.01060832960073471,0.6657968231455413,0.6405580809791128,0.20996199159349338,0.0029455380354672656,1.0
0.0043436928978966005,0.022251381189871022,0.0043342862936637215,0.005382657749017916,0.018534129820848122,0.008750631982043844,0.5317746130959461,0.38040262393880653,0.34680091274694214,0.022251381189871022,0.014024114034261848,0.04403525337345705,0.6215807665734494,0.010327382565133969,0.78562125137877,0.747514028331436,-0.26152653474114973,0.0072311155537454486,0.0
-0.001948593959286038,0.006807930561317566,-0.0019504949383874703,0.00371373191051827,0.016146072427339453,0.006132179190150966,0.5200708479577825,0.44855274579484217,0.36715127935652214,0.006807930561317566,0.00787098956058907,0.04340756762331488,0.5852383890172831,0.009985986548945424,0.815137939689008,0.7555186714044398,0.14304978649493805,0.005367523361209825,0.0
-0.005619012741815421,0.004135413457332815,-0.005634858781188561,-0.0012124684514568385,0.00998965042433908,0.00043293002421029847,0.4868601154407433,0.40385892825071323,0.37449280913536037,0.004135413457332815,0.018733591944181116,0.042081238010998626,0.47115245717166476,0.009892912100486881,0.6433779842881364,0.7480457251186382,0.1356439939867431,4.1434095706449625e-05,0.0
-0.01465382966217288,-0.02233209188015073,-0.01476225758397397,-0.01446502202190092,-0.0051098684186275944,-0.012885258412447809,0.41317516859597864,0.12295486789980714,0.32418522088824975,-0.02233209188015073,0.006161342331716169,0.04333601801624239,0.16131336947130764,0.010586499496103472,0.1979619441489201,0.5521592893753549,0.24488881411030872,-0.013625237592329142,0.0
-0.002381367843391824,-0.020190910393981354,-0.0023842078093595535,-0.015371172495436292,-0.007785151988706884,-0.013800600308900846,0.4026659990498934,-0.13716492727121476,0.23191519125635685,-0.020190910393981354,-0.008836319541873805,0.04428095209831471,0.1474526136377867,0.010636727369497077,0.16084023534784325,0.33406005459496657,0.18875599422536915,-0.014650914399122583,1.0
0.002289673166661732,-0.02219475351773037,0.002287055859480638,-0.01195079624697759,-0.0059822522035679615,-0.010451753872348646,0.4179587012525907,-0.30224611092788223,0.12508293081950905,-0.02219475351773037,-0.00043723624879754563,0.04451417039039401,0.22828101371848103,0.010218936594536557,0.22657458763976132,0.19512558904550822,-0.12338153732364376,-0.01123826216287871,1.0
