,date,adj_close,close,high,low,open,volume,symbol
0,2015-01-02,170.125,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,SPY
1,2015-01-05,167.05264282226562,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600,SPY
2,2015-01-06,165.47915649414062,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400,SPY
3,2015-01-07,167.54122924804688,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700,SPY
4,2015-01-08,170.51425170898438,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800,SPY
5,2015-01-09,169.14776611328125,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300,SPY
6,2015-01-12,167.82278442382812,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100,SPY
7,2015-01-13,167.35076904296875,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300,SPY
8,2015-01-14,166.3403778076172,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100,SPY
9,2015-01-15,164.81661987304688,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900,SPY
10,2015-01-16,166.9781036376953,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246094,211879600,SPY
11,2015-01-20,167.3341827392578,202.05999755859375,202.72000122070312,200.1699981689453,202.39999389648438,130991100,SPY
12,2015-01-21,168.1788330078125,203.0800018310547,203.66000366210938,200.94000244140625,201.5,122942700,SPY
13,2015-01-22,170.6798858642578,206.10000610351562,206.25999450683594,202.3300018310547,203.99000549316406,174356000,SPY
14,2015-01-23,169.7440643310547,204.97000122070312,206.10000610351562,204.80999755859375,205.7899932861328,117516800,SPY
15,2015-01-26,170.1415252685547,205.4499969482422,205.55999755859375,203.85000610351562,204.7100067138672,92009700,SPY
16,2015-01-27,167.8972625732422,202.74000549316406,204.1199951171875,201.74000549316406,202.97000122070312,134044600,SPY
17,2015-01-28,165.744140625,200.13999938964844,204.2899932861328,199.91000366210938,204.1699981689453,168514300,SPY
18,2015-01-29,167.27621459960938,201.99000549316406,202.3000030517578,198.67999267578125,200.3800048828125,173585400,SPY
19,2015-01-30,165.1726837158203,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700,SPY
20,2015-02-02,167.2182159423828,201.9199981689453,202.02999877929688,197.86000061035156,200.0500030517578,163107000,SPY
21,2015-02-03,169.63636779785156,204.83999633789062,204.85000610351562,202.5500030517578,203.0,124212900,SPY
22,2015-02-04,168.99046325683594,204.05999755859375,205.3800048828125,203.50999450683594,203.9199981689453,134306700,SPY
23,2015-02-05,170.69642639160156,206.1199951171875,206.3000030517578,204.77000427246094,204.86000061035156,97953200,SPY
24,2015-02-06,170.22438049316406,205.5500030517578,207.24000549316406,204.9199981689453,206.55999755859375,125672000,SPY
25,2015-02-09,169.46250915527344,204.6300048828125,205.63999938964844,204.13999938964844,204.77000427246094,87219000,SPY
26,2015-02-10,171.26785278320312,206.80999755859375,207.1199951171875,204.67999267578125,205.8800048828125,96164200,SPY
