date,adj_close,close,high,low,open,volume,symbol,return_1,return_5,log_return_1,sma_20,sma_50,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,roc_5,roc_10,bb_width,bb_pct_b,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio
2015-01-01,975.6512451171876,1272.7750244140625,1283.5,1270.5,1283.5,366830,TCS.NS,,,,,,,,1272.7750244140625,1272.7750244140625,1272.7750244140625,0.0,,0.0,0.0,,,,,13.0,0.01021390249701412,,,,,,
2015-01-02,988.6435546875,1289.7249755859375,1295.4749755859375,1275.300048828125,1275.5,925740,TCS.NS,0.013317319122975402,,0.013229423128080314,,,,,1281.9562479654949,1281.673748779297,1281.5759605994592,0.006281806750203511,1.0,0.3802873660356454,0.07605747320712908,,,,,13.692853655133929,0.010616878725569458,,,925740.0,,,
2015-01-05,973.6195678710938,1270.125,1299.949951171875,1262.324951171875,1290.5,1754242,TCS.NS,-0.015197019486292374,,-0.015313677599710775,,,,,1277.3385091521723,1277.4331174623362,1277.4617416359276,-0.005720939407656833,0.9183161932475778,-0.12323248375537332,0.0361994818146286,,,,,15.40229267976722,0.012126595949034324,,,-828502.0,-1.8949618683431633,,
2015-01-06,937.7259521484376,1223.300048828125,1264.550048828125,1220.0,1264.550048828125,2423784,TCS.NS,-0.0368664117089853,,-0.03756315583808931,,,,,1260.2806790757452,1261.805737517778,1262.3204991700718,-0.030516336663202415,0.7588409678531868,-2.0398200943266147,-0.3790044334136201,,,,,17.882486059783847,0.014618233749695824,,,-3252286.0,2.925501688589768,,
2015-01-07,926.6488037109376,1208.8499755859375,1239.574951171875,1203.7249755859375,1235.0,2636332,TCS.NS,-0.011812370363289193,,-0.011882690725432177,,,,,1246.307140749698,1248.996189350218,1249.9204642064471,-0.032142783225917015,0.7174351802857802,-3.6133234567491854,-1.0258682380807334,,,,,19.165878168794823,0.015854637511577892,,,-5888618.0,0.810608907088737,,
2015-01-08,936.6522216796876,1221.9000244140625,1224.5,1210.2750244140625,1221.199951171875,1565408,TCS.NS,0.01079542465292227,-0.03997171457966098,0.010737570060361915,,,,,1240.3749274265194,1243.28013623113,1244.308193599043,-0.017196536157875864,0.7316748038178851,-3.933266172523645,-1.6073478249693158,-0.03997171457966098,,,,18.914745757742516,0.015479781798689054,,,-4323210.0,-0.26583622846650945,,
2015-01-09,962.9066162109376,1256.1500244140625,1259.949951171875,1225.0,1227.5,3197642,TCS.NS,0.028030116470800337,-0.026032644019025497,0.027644462781670067,,,,,1243.895085126437,1245.7135135334913,1246.4142018230705,0.0083779382395619,0.7651284833694849,-2.519116696633546,-1.789701599302162,-0.026032644019025497,,,,20.28154440060466,0.016145797879568633,,,-1125568.0,-0.7396453098507823,,
2015-01-12,961.910400390625,1254.8499755859375,1264.0,1240.125,1258.5,1596006,TCS.NS,-0.0010349471025417056,-0.012026394578535604,-0.001035483030097258,,,,,1246.1812019164452,1247.29279690806,1247.7734140006187,0.006058865004761715,0.7612488306945581,-1.592212084173525,-1.750203696276435,-0.012026394578535604,,,,20.538219800561468,0.016367071921064815,,,-2721574.0,1.4179560897253651,,
2015-01-13,957.3875122070312,1248.949951171875,1265.199951171875,1240.050048828125,1260.0,1468432,TCS.NS,-0.004701776729371665,0.020967793116922984,-0.004712864851145513,,,,,1246.7289590671896,1247.558612555065,1247.9478026378454,0.0011152490975636642,0.7428397359686627,-1.2188435706557357,-1.643931671152295,0.020967793116922984,,,,20.867625696503506,0.01670813604414145,,,-4190006.0,0.5395524795577853,,
2015-01-14,966.60546875,1260.9749755859375,1265.9000244140625,1250.25,1258.0,1787096,TCS.NS,0.009628107517662743,0.04311949460455966,0.009582052668529793,,,,,1249.4285736608576,1249.5790005769536,1249.7454257152738,0.009119851568986093,0.755801542976133,-0.31685205441613107,-1.3785157478050625,0.04311949460455966,,,,20.58780052119522,0.016326890636056187,,,-2402910.0,-0.426513947712724,,
2015-01-15,973.1790161132812,1269.550048828125,1290.875,1261.625,1266.5,5009920,TCS.NS,0.006800351639177471,0.03899666377117228,0.006777333543143798,,,,,1253.1103184534334,1252.4287258698905,1252.3140916071243,0.013670496855094694,0.7649016767033641,0.7962268463090822,-0.9435672289822336,0.03899666377117228,-0.002533814322308925,,,21.25295937068574,0.016740544723150983,,,2607010.0,-2.0849386785189625,,
2015-01-16,970.5149536132812,1266.074951171875,1272.5,1242.1500244140625,1271.8499755859375,5293830,TCS.NS,-0.002737267159697798,0.007901067997385214,-0.002741020325959982,,,,,1255.4153875897036,1254.287725961695,1254.0048300264204,0.009397544890381804,0.7526606476859314,1.4105575632831915,-0.4727422705291486,0.007901067997385214,-0.018337261712186415,,,21.902746243203723,0.01729972322960075,,,-2686820.0,-2.0306136148307834,,
2015-01-19,962.4083862304688,1255.5,1275.5,1251.5,1268.0,1135074,TCS.NS,-0.008352547502884278,0.0005180096638714993,-0.00838762549138723,,,,,1255.430079518513,1254.4463690282168,1254.1799889191361,0.0008399171122790428,0.7151540264050797,1.2500905993767901,-0.12817569654796085,0.0005180096638714993,-0.011514614703277193,,,22.052550082974886,0.01756475514374742,,,-3821894.0,0.42246000848586807,,
2015-01-20,958.3650512695312,1250.2249755859375,1265.0,1241.625,1260.0,2058566,TCS.NS,-0.0042015327869872054,0.0010208771078985546,-0.004210384027084305,,,,,1254.5438165084367,1253.912944226113,1253.7357938541277,-0.002941168011030948,0.6965088641170151,0.8080226543090703,0.05906397362344537,0.0010208771078985546,0.022010075764817838,,,22.147010791333823,0.017714420383382824,0.4832425232311059,,-5880460.0,0.5386245667723908,,
2015-01-21,963.4816284179688,1256.9000244140625,1261.0,1244.125,1261.0,2310480,TCS.NS,0.005339078132714947,-0.003231587660953772,0.005324875784265588,,,,,1254.9385216695007,1254.2790050826018,1254.0780860915258,0.002089662125284608,0.7069216045198398,0.8604355779748403,0.21933829449372436,-0.003231587660953772,0.0397485625168954,,,21.770438591952836,0.017320740050189517,0.552611715454632,,-3569980.0,-0.39290803780656613,,
2015-01-22,963.3857421875,1256.7750244140625,1260.625,1247.75,1258.25,2113214,TCS.NS,-9.945102838093689e-05,-0.010062639457069533,-9.945597396235806e-05,,,,,1255.2420182280464,1254.5767558281789,1254.3602079948826,0.0017521993578084594,0.7064328057112625,0.8818102331638329,0.3518326822277461,-0.010062639457069533,0.028541614946544946,,,21.135050121099063,0.01681689221263186,0.5513126764136881,0.5290556383664753,-5683194.0,0.5919400108684083,,
2015-01-23,959.5721435546876,1251.800048828125,1266.0250244140625,1248.050048828125,1257.0,3150380,TCS.NS,-0.003958525184932671,-0.011274926757327552,-0.003966380883927351,,,,,1254.6796235430104,1254.253301552325,1254.1003294819216,-0.001955946794131358,0.6860993353528114,0.5792940610888309,0.3973249579999631,-0.011274926757327552,-0.0034629427229176946,,,20.90933051144467,0.01670341084506186,0.5516357977569324,0.5518533965417508,-8833574.0,0.5543326516743929,,
2015-01-27,960.897705078125,1251.0250244140625,1257.5,1244.7750244140625,1256.175048828125,2738736,TCS.NS,-0.0006191279627988377,-0.003564297559488283,-0.000619319701660676,,,,,1254.0881336197044,1253.8850696305385,1253.796494763137,-0.0022809468632709606,0.6828021403368189,0.2916388565674879,0.3761877377134681,-0.003564297559488283,-0.0030481342361974306,,,20.3247337310513,0.016246464566582682,0.5427428063977993,0.5485637601894733,-11572310.0,0.3100371378560931,,
2015-01-28,975.3179931640624,1269.800048828125,1272.449951171875,1251.449951171875,1251.5,3121980,TCS.NS,0.015007712913541527,0.015657240596248068,0.0148962113944765,,,,,1256.6108902735148,1255.6668595332706,1255.339468944698,0.011255524654133042,0.7181400471647749,1.271421328816814,0.5552344559341373,0.015657240596248068,0.016694101822644303,,,20.40331894724853,0.01606813526750009,0.7385240998068986,0.6109675679872101,-8450330.0,-0.26978019081756366,,
2015-01-29,977.2575073242188,1272.324951171875,1284.3499755859375,1256.449951171875,1269.0,3734392,TCS.NS,0.001988425143061079,0.012272198630120412,0.0019864508425189815,1255.3787536621094,,0.013498872320669264,,1259.1171565376183,1257.5011785060697,1256.9413290213315,0.01178827735447241,0.7226155460055617,2.175827516286745,0.8793530680046588,0.012272198630120412,0.009000952283500618,0.060175873366153106,0.7213358779600904,20.938797909163814,0.016457114898106914,0.7184053308823529,0.6665574123623502,-4715938.0,-0.4419226231401614,1256.0270817436449,0.012975730909882133
2015-01-30,953.21630859375,1241.0250244140625,1287.5,1235.0,1280.3499755859375,5817402,TCS.NS,-0.0246005760784489,-0.012532075903834095,-0.024908226313749945,1253.7912536621093,,-0.010182101056103843,,1256.247806821692,1255.7134904138727,1255.4700692937824,-0.011697306839451915,0.5962281010318741,0.777737527909494,0.8590299599856259,-0.012532075903834095,-0.022468609599434752,0.061038670350614256,0.33147007185407523,23.193169487080684,0.01868872023594456,0.10783041456935123,0.521586615086201,-10533340.0,1.2335620188390943,1255.7296745726694,-0.011710044332281178
